datetime,annee,mois,jours,heure,minute,jour_année,jour_semaine,tranche_horaire,saison,comptage_cumul,comptage_quotidien,methode
2020-03-12 00:00:00,2020,3,12,0,0,72,Jeudi,Nuit,Hiver,0.0,0.0,Reporté
2020-03-12 01:00:00,2020,3,12,1,0,72,Jeudi,Nuit,Hiver,10.0,10.0,Estimé
2020-03-12 02:00:00,2020,3,12,2,0,72,Jeudi,Nuit,Hiver,20.0,20.0,Estimé
2020-03-12 03:00:00,2020,3,12,3,0,72,Jeudi,Nuit,Hiver,30.0,30.0,Estimé
2020-03-12 04:00:00,2020,3,12,4,0,72,Jeudi,Nuit,Hiver,40.0,40.0,Estimé
2020-03-12 05:00:00,2020,3,12,5,0,72,Jeudi,Nuit,Hiver,50.0,50.0,Estimé
2020-03-12 06:00:00,2020,3,12,6,0,72,Jeudi,Nuit,Hiver,59.0,59.0,Estimé
2020-03-12 07:00:00,2020,3,12,7,0,72,Jeudi,Nuit,Hiver,69.0,69.0,Estimé
2020-03-12 08:00:00,2020,3,12,8,0,72,Jeudi,Matin,Hiver,79.0,79.0,Estimé
2020-03-12 09:00:00,2020,3,12,9,0,72,Jeudi,Matin,Hiver,89.0,89.0,Estimé
2020-03-12 10:00:00,2020,3,12,10,0,72,Jeudi,Matin,Hiver,99.0,99.0,Estimé
2020-03-12 11:00:00,2020,3,12,11,0,72,Jeudi,Matin,Hiver,109.0,109.0,Relevé
2020-03-12 12:00:00,2020,3,12,12,0,72,Jeudi,Après-Midi,Hiver,220.0,220.0,Estimé
2020-03-12 13:00:00,2020,3,12,13,0,72,Jeudi,Après-Midi,Hiver,330.0,330.0,Estimé
2020-03-12 14:00:00,2020,3,12,14,0,72,Jeudi,Après-Midi,Hiver,441.0,441.0,Relevé
2020-03-12 15:00:00,2020,3,12,15,0,72,Jeudi,Après-Midi,Hiver,550.0,550.0,Estimé
2020-03-12 16:00:00,2020,3,12,16,0,72,Jeudi,Après-Midi,Hiver,660.0,660.0,Estimé
2020-03-12 17:00:00,2020,3,12,17,0,72,Jeudi,Après-Midi,Hiver,770.0,770.0,Estimé
2020-03-12 18:00:00,2020,3,12,18,0,72,Jeudi,Soir,Hiver,879.0,879.0,Estimé
2020-03-12 19:00:00,2020,3,12,19,0,72,Jeudi,Soir,Hiver,988.0,988.0,Estimé
2020-03-12 20:00:00,2020,3,12,20,0,72,Jeudi,Soir,Hiver,1098.0,1098.0,Estimé
2020-03-12 21:00:00,2020,3,12,21,0,72,Jeudi,Soir,Hiver,1208.0,1208.0,Estimé
2020-03-12 22:00:00,2020,3,12,22,0,72,Jeudi,Soir,Hiver,1317.0,1317.0,Estimé
2020-03-12 23:00:00,2020,3,12,23,0,72,Jeudi,Soir,Hiver,1426.0,1426.0,Estimé
2020-03-13 00:00:00,2020,3,13,0,0,73,Vendredi,Nuit,Hiver,1536.0,0.0,Reporté
2020-03-13 01:00:00,2020,3,13,1,0,73,Vendredi,Nuit,Hiver,1574.0,38.0,Estimé
2020-03-13 02:00:00,2020,3,13,2,0,73,Vendredi,Nuit,Hiver,1613.0,77.0,Estimé
2020-03-13 03:00:00,2020,3,13,3,0,73,Vendredi,Nuit,Hiver,1652.0,116.0,Estimé
2020-03-13 04:00:00,2020,3,13,4,0,73,Vendredi,Nuit,Hiver,1690.0,154.0,Estimé
2020-03-13 05:00:00,2020,3,13,5,0,73,Vendredi,Nuit,Hiver,1728.0,192.0,Estimé
2020-03-13 06:00:00,2020,3,13,6,0,73,Vendredi,Nuit,Hiver,1767.0,231.0,Estimé
2020-03-13 07:00:00,2020,3,13,7,0,73,Vendredi,Nuit,Hiver,1806.0,270.0,Estimé
2020-03-13 08:00:00,2020,3,13,8,0,73,Vendredi,Matin,Hiver,1844.0,308.0,Estimé
2020-03-13 09:00:00,2020,3,13,9,0,73,Vendredi,Matin,Hiver,1882.0,346.0,Estimé
2020-03-13 10:00:00,2020,3,13,10,0,73,Vendredi,Matin,Hiver,1921.0,385.0,Relevé
2020-03-13 11:00:00,2020,3,13,11,0,73,Vendredi,Matin,Hiver,2017.0,481.0,Estimé
2020-03-13 12:00:00,2020,3,13,12,0,73,Vendredi,Après-Midi,Hiver,2113.0,577.0,Estimé
2020-03-13 13:00:00,2020,3,13,13,0,73,Vendredi,Après-Midi,Hiver,2209.0,673.0,Estimé
2020-03-13 14:00:00,2020,3,13,14,0,73,Vendredi,Après-Midi,Hiver,2305.0,769.0,Relevé
2020-03-13 15:00:00,2020,3,13,15,0,73,Vendredi,Après-Midi,Hiver,2437.0,901.0,Estimé
2020-03-13 16:00:00,2020,3,13,16,0,73,Vendredi,Après-Midi,Hiver,2570.0,1034.0,Estimé
2020-03-13 17:00:00,2020,3,13,17,0,73,Vendredi,Après-Midi,Hiver,2702.0,1166.0,Estimé
2020-03-13 18:00:00,2020,3,13,18,0,73,Vendredi,Soir,Hiver,2834.0,1298.0,Relevé
