date,horaire,annee,mois,jours,heure,minute,jour_annee,idx_semaine,idx_jour,jour_semaine,idx_tranche,tranche_horaire,idx_saison,saison,comptage_cumul,comptage_quotidien,methode
2020-03-12,00:00:00,2020,3,12,0,0,72,11,3,Jeudi,0,Nuit,3,Hiver,0,0,"Reporté"
2020-03-12,01:00:00,2020,3,12,1,0,72,11,3,Jeudi,0,Nuit,3,Hiver,10,10,"Estimé"
2020-03-12,02:00:00,2020,3,12,2,0,72,11,3,Jeudi,0,Nuit,3,Hiver,20,20,"Estimé"
2020-03-12,03:00:00,2020,3,12,3,0,72,11,3,Jeudi,0,Nuit,3,Hiver,30,30,"Estimé"
2020-03-12,04:00:00,2020,3,12,4,0,72,11,3,Jeudi,0,Nuit,3,Hiver,40,40,"Estimé"
2020-03-12,05:00:00,2020,3,12,5,0,72,11,3,Jeudi,0,Nuit,3,Hiver,50,50,"Estimé"
2020-03-12,06:00:00,2020,3,12,6,0,72,11,3,Jeudi,0,Nuit,3,Hiver,59,59,"Estimé"
2020-03-12,07:00:00,2020,3,12,7,0,72,11,3,Jeudi,0,Nuit,3,Hiver,69,69,"Estimé"
2020-03-12,08:00:00,2020,3,12,8,0,72,11,3,Jeudi,1,Matin,3,Hiver,79,79,"Estimé"
2020-03-12,09:00:00,2020,3,12,9,0,72,11,3,Jeudi,1,Matin,3,Hiver,89,89,"Estimé"
2020-03-12,10:00:00,2020,3,12,10,0,72,11,3,Jeudi,1,Matin,3,Hiver,99,99,"Estimé"
2020-03-12,11:00:00,2020,3,12,11,0,72,11,3,Jeudi,1,Matin,3,Hiver,109,109,"Relevé"
2020-03-12,12:00:00,2020,3,12,12,0,72,11,3,Jeudi,2,"Après-Midi",3,Hiver,220,220,"Estimé"
2020-03-12,13:00:00,2020,3,12,13,0,72,11,3,Jeudi,2,"Après-Midi",3,Hiver,330,330,"Estimé"
2020-03-12,14:00:00,2020,3,12,14,0,72,11,3,Jeudi,2,"Après-Midi",3,Hiver,441,441,"Relevé"
2020-03-12,15:00:00,2020,3,12,15,0,72,11,3,Jeudi,2,"Après-Midi",3,Hiver,550,550,"Estimé"
2020-03-12,16:00:00,2020,3,12,16,0,72,11,3,Jeudi,2,"Après-Midi",3,Hiver,660,660,"Estimé"
2020-03-12,17:00:00,2020,3,12,17,0,72,11,3,Jeudi,2,"Après-Midi",3,Hiver,770,770,"Estimé"
