# Country_Region=France
date          cases    recovered    deaths    pct_cases    pct_recovered    pct_deaths  Country_Region    Province_State    zone       UID  iso2    iso3    FIPS    Admin2          Lat      Long       population
2020-02-29      100           12         2     0.000153         0.000018      0.000003  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-01      130           12         2     0.000199         0.000018      0.000003  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-02      191           12         3     0.000293         0.000018      0.000005  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-03      204           12         4     0.000313         0.000018      0.000006  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-04      285           12         4     0.000437         0.000018      0.000006  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-05      377           12         6     0.000578         0.000018      0.000009  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-06      653           12         9     0.001000         0.000018      0.000014  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-07      949           12        11     0.001454         0.000018      0.000017  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-08     1126           12        19     0.001725         0.000018      0.000029  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-09     1209           12        19     0.001852         0.000018      0.000029  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-10     1784           12        33     0.002733         0.000018      0.000051  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-11     2281           12        48     0.003495         0.000018      0.000074  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-12     2281           12        48     0.003495         0.000018      0.000074  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-13     3661           12        79     0.005609         0.000018      0.000121  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
2020-03-14     4469           12        91     0.006847         0.000018      0.000139  France            ?                 country    250  FR      FRA     ?       ?         46.227600  2.213700  65273512.000000
