# colnames: provider,real_provider,dataset,max_variables,nb_sobservations,max_scope
# width: 11,44,181,16,19,12
provider   real_provider                               dataset                                                                                                                                                                              max_variables   nb_sobservations   max_scope   
geonames   geonames                                    Geonames database                                                                                                                                                                               15            4823955     4070489
owid       bbsc                                        Statistical Capacity Indicator (SCI) - World Bank Data on Statistical Capacity                                                                                                                   1               4040         154
owid       bp_statreview@2021                          Statistical Review of World Energy - BP (2021)                                                                                                                                                   1              84989          94
owid       bpstatreview_2020                           BP Statistical Review of Global Energy                                                                                                                                                           1              68479         100
owid       clioinfra                                   Clio-Infra - Biological Standards of Living - Baten and Blum (2015)                                                                                                                              1               1499         153
owid       clioinfra                                   Clio-Infra - Human Capital                                                                                                                                                                       1               9697         145
owid       clioinfra                                   Clio-Infra - Institutions                                                                                                                                                                        1              25646         177
owid       clioinfra                                   Clio-Infra - National Accounts                                                                                                                                                                   1              12416         152
owid       edstats@2020                                World Bank EdStats 2020                                                                                                                                                                          1             318055         234
owid       faostat                                     Emissions - Agriculture: Agriculture Total - FAO (2017)                                                                                                                                          1              52553         280
owid       faostat                                     Emissions - Agriculture: Synthetic Fertilizers - FAO (2017)                                                                                                                                      1              11965         246
owid       faostat                                     Food Balance: Food Balance Sheets - FAO (2017)                                                                                                                                                   1             177366         217
owid       faostat                                     Food Security: Suite of Food Security Indicators - FAO (2017)                                                                                                                                    1               2486         175
owid       faostat                                     Investment: Credit to Agriculture - FAO (2017)                                                                                                                                                   1               1848         119
owid       faostat                                     Prices: Producer Price Indices - Annual - FAO (2017)                                                                                                                                             1              25879         147
owid       faostat_2020                                Agri-Environmental Indicators: Fertilizers indicators                                                                                                                                            1               8975         194
owid       faostat_2020                                Agri-Environmental Indicators: Land use indicators                                                                                                                                               1              12916         249
owid       faostat_2020                                Agri-Environmental Indicators: Pesticides indicators                                                                                                                                             1               5181         192
owid       faostat_2020                                Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent                                                                                                                         1              59835         205
owid       faostat_2020                                Food Balance: Food Balances (old methodology and population)                                                                                                                                     1              30634         216
owid       faostat_2020                                Food Balance: Food Supply - Crops Primary Equivalent                                                                                                                                             1             116635         216
owid       faostat_2020                                Food Balance: New Food Balances                                                                                                                                                                  1              26801         173
owid       faostat_2020                                Food Security: Suite of Food Security Indicators                                                                                                                                                 1               3289         174
owid       faostat_2020                                Inputs: Fertilizers by Nutrient                                                                                                                                                                  1               7468         204
owid       faostat_2020                                Inputs: Land Use                                                                                                                                                                                 1              71917         270
owid       faostat_2020                                Inputs: Pesticides Use                                                                                                                                                                           1              15821         200
owid       faostat_2020                                Production: Crops                                                                                                                                                                                1             613451         229
owid       faostat_2020                                Production: Crops processed                                                                                                                                                                      1              62589         142
owid       faostat_2020                                Production: Live Animals                                                                                                                                                                         1              38837         254
owid       faostat_2020                                Production: Livestock Primary                                                                                                                                                                    1             272820         256
owid       faostat_2020                                Production: Value of Agricultural Production                                                                                                                                                     1               4710         221
owid       findex                                      World Bank Global Findex - 2011 Variables                                                                                                                                                        1                805         161
owid       findex                                      World Bank Global Findex - 2014 Variables                                                                                                                                                        1                477         159
owid       gbd_cause                                   Acute hepatitis A                                                                                                                                                                                1               6468         231
owid       gbd_cause                                   Acute hepatitis E                                                                                                                                                                                1               6468         231
owid       gbd_cause                                   Alcohol use disorders                                                                                                                                                                            1              84084         231
owid       gbd_cause                                   All causes                                                                                                                                                                                       1             122892         231
owid       gbd_cause                                   Alzheimer disease and other dementias                                                                                                                                                            1              51120         231
owid       gbd_cause                                   Amphetamine use disorders                                                                                                                                                                        1              12936         231
owid       gbd_cause                                   Anxiety disorders                                                                                                                                                                                1              51744         231
owid       gbd_cause                                   Asperger syndrome and other autistic spectrum disorders                                                                                                                                          1               6156         228
owid       gbd_cause                                   Attention-deficit/hyperactivity disorder                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Autism                                                                                                                                                                                           1               6156         228
owid       gbd_cause                                   Autistic spectrum disorders                                                                                                                                                                      1               6468         231
owid       gbd_cause                                   Bipolar disorder                                                                                                                                                                                 1              38808         231
owid       gbd_cause                                   Bladder cancer                                                                                                                                                                                   1              19404         231
owid       gbd_cause                                   Brain and nervous system cancer                                                                                                                                                                  1              19404         231
owid       gbd_cause                                   Breast cancer                                                                                                                                                                                    1              19404         231
owid       gbd_cause                                   Cardiovascular diseases                                                                                                                                                                          1             103488         231
owid       gbd_cause                                   Cerebrovascular disease                                                                                                                                                                          1              77616         231
owid       gbd_cause                                   Cervical cancer                                                                                                                                                                                  1              19404         231
owid       gbd_cause                                   Chronic kidney disease                                                                                                                                                                           1              45276         231
owid       gbd_cause                                   Chronic respiratory diseases                                                                                                                                                                     1             103488         231
owid       gbd_cause                                   Cirrhosis and other chronic liver diseases                                                                                                                                                       1              58212         231
owid       gbd_cause                                   Cocaine use disorders                                                                                                                                                                            1              12936         231
owid       gbd_cause                                   Colon and rectum cancer                                                                                                                                                                          1              19404         231
owid       gbd_cause                                   Communicable, maternal, neonatal, and nutritional diseases                                                                                                                                       1              71148         231
owid       gbd_cause                                   Conflict and terrorism                                                                                                                                                                           1              25872         231
owid       gbd_cause                                   Congenital birth defects                                                                                                                                                                         1              12936         231
owid       gbd_cause                                   Cyclist road injuries                                                                                                                                                                            1               6468         231
owid       gbd_cause                                   Cysticercosis                                                                                                                                                                                    1               6468         231
owid       gbd_cause                                   Depressive disorders                                                                                                                                                                             1              51744         231
owid       gbd_cause                                   Diabetes mellitus                                                                                                                                                                                1              51744         231
owid       gbd_cause                                   Diabetes mellitus type 1                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Diabetes mellitus type 2                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Diabetes, urogenital, blood, and endocrine diseases                                                                                                                                              1              24624         228
owid       gbd_cause                                   Diarrhea, lower respiratory, and other common infectious diseases                                                                                                                                1              18468         228
owid       gbd_cause                                   Diarrheal diseases                                                                                                                                                                               1              90552         231
owid       gbd_cause                                   Digestive diseases                                                                                                                                                                               1              64680         231
owid       gbd_cause                                   Diphtheria                                                                                                                                                                                       1               6468         231
owid       gbd_cause                                   Drowning                                                                                                                                                                                         1              97020         231
owid       gbd_cause                                   Drug use disorders                                                                                                                                                                               1             103488         231
owid       gbd_cause                                   Drug-susceptible HIV/AIDS - Tuberculosis                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Eating disorders                                                                                                                                                                                 1              58212         231
owid       gbd_cause                                   Encephalitis                                                                                                                                                                                     1              32340         231
owid       gbd_cause                                   Environmental heat and cold exposure                                                                                                                                                             1              45276         231
owid       gbd_cause                                   Esophageal cancer                                                                                                                                                                                1              19404         231
owid       gbd_cause                                   Exposure to forces of nature                                                                                                                                                                     1              64680         231
owid       gbd_cause                                   Extensively drug-resistant HIV/AIDS - Tuberculosis                                                                                                                                               1               6468         231
