subregion|region|wikidata_id
Western Africa|Africa|Q4412
South America|Americas|Q18
Western Asia|Asia|Q27293
Western Europe|Europe|Q27496
Polynesia|Oceania|Q35942
Southern Africa|Africa|Q27394
Northern America|Americas|Q2017699
Southern Asia|Asia|Q771405
Southern Europe|Europe|Q27449
Micronesia|Oceania|Q3359409
Northern Africa|Africa|Q27381
Central America|Americas|Q27611
South-Eastern Asia|Asia|Q11708
Northern Europe|Europe|Q27479
Melanesia|Oceania|Q37394
Middle Africa|Africa|Q27433
Caribbean|Americas|Q664609
Eastern Asia|Asia|Q27231
Eastern Europe|Europe|Q27468
Australia and New Zealand|Oceania|Q45256
Eastern Africa|Africa|Q27407
Central Asia|Asia|Q27275
