# colnames: year,AFG,AGO,ALB,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,FRO,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNG,MOZ,MRT,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE,BHS,GUF,HTI,LCA,AIA,MLT,DMA,SLB,PRI,BRB,JAM,FJI,MTQ,SGP,TON,ASM,VUT,WSM,ESH,VCT,KNA,ANT,VIR,MSR,SPM,ABW,COM,TTO,GRL,TCA,NZL,SJM,FLK,REU,CPV,MYT,MUS,FSM,KIR,MCO,MDV,MHL,MNE,NRU,PLW,PSE,SMR,SSD,SYC,TUV,VAT,BES,BMU,COK,CUW,CYM,GIB,GUM,IMN,MAC,MAF,MNP,NIU,PYF,SHN,SXM,TKL,VGB,WLF
# width: 9,11,11,10,11,10,8,11,10,11,11,11,11,11,12,10,10,10,11,9,11,12,9,9,10,10,11,10,11,13,11,11,11,10,11,10,11,10,11,11,10,10,11,11,11,12,10,11,10,12,10,11,8,10,11,10,11,11,9,10,10,10,11,9,11,9,10,11,10,11,12,13,10,11,11,9,10,11,11,12,11,11,10,11,11,10,10,10,10,10,8,11,10,10,9,10,11,10,11,12,10,11,11,10,11,10,11,11,10,9,11,12,10,11,10,11,10,12,10,11,12,10,11,11,11,10,10,11,12,11,11,11,11,10,10,11,10,9,9,10,10,11,10,11,11,10,11,10,10,10,11,11,11,11,11,11,10,12,11,11,11,11,11,11,11,9,9,11,9,8,9,8,9,10,9,10,9,9,10,9,8,9,9,9,9,8,9,9,8,7,9,9,10,8,8,10,7,7,9,9,9,10,9,9,8,9,8,9,8,8,10,8,11,8,8,6,8,8,8,9,8,8,9,8,9,8,8,7,9,7,8,7,8,8
  year        AFG        AGO       ALB        ARG       ARM     ATG        AUS       AUT        AZE        BDI        BEL        BEN        BFA         BGD       BGR       BHR       BIH        BLR      BLZ        BOL         BRA      BRN      BTN       BWA       CAF        CAN       CHE        CHL          CHN        CIV        CMR        COD       COG        COL       CRI        CUB       CYP        CZE        DEU       DJI       DNK        DOM        DZA        ECU         EGY       ERI        ESP       EST         ETH       FIN        FRA     FRO       GAB        GBR       GEO        GHA        GIN      GLP       GMB       GNB       GNQ        GRC      GRD        GTM      GUY       HKG        HND       HRV        HUN         IDN          IND       IRL        IRN        IRQ      ISL       ISR        ITA        JOR         JPN        KAZ        KEN       KGZ        KHM        KOR       KWT       LAO       LBN       LBR       LBY     LIE        LKA       LSO       LTU      LUX       LVA        MAR       MDA        MDG         MEX       MKD        MLI        MMR       MNG        MOZ       MRT        MWI        MYS       NAM      NCL        NER         NGA       NIC        NLD       NOR        NPL       OMN         PAK       PAN        PER         PHL       PNG        POL        PRK        PRT       PRY       QAT        ROU         RUS        RWA        SAU        SDN        SEN       SLE       SLV        SOM       SRB      STP      SUR       SVK       SVN        SWE       SWZ        SYR        TCD       TGO        THA       TJK       TKM       TLS        TUN        TUR        TWN        TZA        UGA        UKR       URY         USA        UZB        VEN        VNM        YEM        ZAF        ZMB        ZWE      BHS      GUF        HTI      LCA     AIA      MLT     DMA      SLB       PRI      BRB       JAM      FJI      MTQ       SGP      TON     ASM      VUT      WSM      ESH      VCT     KNA      ANT      VIR     MSR    SPM      ABW      COM       TTO     GRL     TCA       NZL    SJM    FLK      REU      CPV      MYT       MUS      FSM      KIR     MCO      MDV     MHL      MNE     NRU     PLW       PSE     SMR        SSD     SYC     TUV   VAT     BES     BMU     COK      CUW     CYM     GIB      GUM     IMN      MAC     MAF     MNP    NIU      PYF    SHN     SXM    TKL     VGB     WLF   
-10000      14737        379      1199      27969      9614       1     250000      1465      20584        584        888       2557       3503        9599      1165        77      2349      20549      200     104718      415019        8       41        28      2265      17259       507      34799       217313       4577       3224      21905      1949     128828      2115        241       922        697       6576       143       540        755      12090      69685       13668      3098      18221        28       16296       421      16785       8       343       2189     25145       4013       2110       12        25       188      2049        494        4      52148        5      1558      13390      1198       2109       20971        84810       224      38101      35992        8     12402      12658      11376        5202     108469      10114     28350      10453      10786       912     10776     20511      2417      6936    1363      32212       146        45      791        38      17352     11216          6      805299       725       3871      19798     14955       2155      2995       2762        754        43        3       9543       17305     30733       1220       237     107405      2644        8500     14392     242217       16146     10413        699      10773       7160      3500        78       2799      258920        539      17339      11863        713        73      8673       3470      4363        2        3      1679      1308        237        88      26928       9682      3115      14011     24652     19721       387       4837      39506       5579       7899      13184      98793      1705      233969     102306      69396      21429        981         90        668        749        0        0          0        0       0        0       0        0         0        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -9000      20405        633      1999      31499     11216       3     250000      1625      24015        779       1333       4262       5254       32893      2136       115      3732      23974      250     116354      544715       10       52        57      3398      19177       634      35725       362188       6408       4836      28072      2599     161035      3173        301      1536       1395       9864       215      1080        944      20150      77428       20274      3872      25510        56       22815       562      24260      11       515       3065     29336       6020       3165       25        33       282      2562        594        9      57942       10      2596      14877      2119       2812       26214       167150       448      50954      39990       16     17533      16879      14480        7803     126548      12605     33075      15158      13482      1368     13470     28715      3626     10404    1557      40265       219        90     1187        77      26028     13086         10     1006627      1209       5807      21998     19963       3018      3993       3460        942        87        6      12724       24227     34148       1355       316     134256      3966       29124     15954     290661       19376     15619       1166      13467      10741      4017       117       4665      302073        719      26009      19786        951        97      9637       5206      7177        3        7      2799      2078        316       132      40392      12910      4154      15763     28760     23008       484       8062      59259       7439      10239      16061     115259      1894      259964     119357      77106      28652       1963        180       1002       1124        1        0          0        0       0        0       0        0         0        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -8000      28253       1055      3332      35528     13086       7     250001      1802      28017       1039       2000       7104       7881       54822      3917       173      5927      27970      313     129282      714937       13       65       115      5097      21307       793      36879       603644       8972       7254      36011      3466     201293      4760        376      2561       2790      14796       322      2160       1180      33583      86032       30172      4840      35714       113       31941       750      35250      15       772       4291     34225       9030       4748       50        45       423      3202        748       19      64380       20      4327      16531      3749       3750       32768       329434       897      69608      44452       33     24871      22509      18447       11705     147639      15740     38587      22042      16853      2052     16837     40202      5439     15607    1780      50331       328       181     1781       155      39043     15267         15     1258282      2015       8711      24443     26663       4225      5325       4336       1178       174       13      16965       33918     37942       1506       421     167820      5949       48540     17689     348793       23251     23429       1944      16834      16111      4625       175       7775      352420        959      39013      33007       1269       130     10707       7809     11818        5       15      4665      3300        421       199      60588      17213      5539      17733     33554     26843       605      13436      88888       9919      13358      19595     134469      2105      288850     139251      85674      38323       3927        361       1503       1686        4        1          1        1       0        0       0        0         0        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -7000      39120       1758      5554      40136     15267      14     250001      2000      32687       1385       3000      11840      11822       91371      7182       260      9414      32632      391     143646      938353       16       81       231      7646      23675       992      38283      1006079      12561      10881      46241      4622     251618      7140        471      4268       5580      22195       483      4320       1475      55973      95591       45006      6050      49999       226       44718       999      51458      21      1158       6008     39929      13545       7122      101        60       635      4003       1000       38      71533       41      7212      18367      6634       5000       40960       649271      1794      96999      49435       66     35403      30019      23520       17558     172246      19697     45018      32146      21066      3079     21046     56282      8159     23411    2034      62914       492       362     2672       311      58564     17811         22     1572852      3359      13067      27158     35641       5915      7100       5434       1472       349       27      22621       47485     42158       1673       562     209775      8924       80901     19614     418551       27901     35144       3239      21042      24167      5344       263      12960      411162       1279      58520      55072       1692       173     11897      11714     19483        8       30      7775      5242        562       299      90882      22951      7385      19950     39146     31317       756      22394     133333      13226      17550      23940     156880      2339      320944     162459      95193      51278       7855        723       2254       2529        8        3          3        2       1        2       0        0         0        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -6000      54166       2930      9256      45421     17811      29     250001      2999      38135       1847       3000      19734      17734      152285     13168       391     14952      38070      489     159607     1231605       20      102       463     11469      26306      1488      39958      1676766      17586      16322      59438      6162     314522     10711        588      7114      11160      33292       725      4800       1844      93289     106212       67243      7563      49999       453       62605      1500      77188      28      1738       6008     46584      20318      10683      203        80       952      5004      13000       76      79481       83     12021      20408     11738      42187       51199      1279633      3589     264999      55000      132     50565      52539      30016       26337     200952      24702     52522      47033      26333      4618     26308     78796     12239     35116    2325      78643       739       725     4009       622      87846     20780         34     1966066      5598      19601      30176     47703       8281      9466       6812       1841       699       55      30161       66480     46842       3347       750     262219     13387      134835     21751     502262       33482     52716       5399      26303      36251      6198       395      21599      479684       1705      87781      91905       2256       231     13219      17571     32150       12       61     12959      8326        750       448     136323      30601      9847      22443     45671     36537       946      37324     200000      17635      23233      29289     183027      2598      356604     189536     105770      68641      15710       1446       3381       3794       17        6          7        5       3        5       0        0         0        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -5000      74999       4884     15428      51500     20780      58     250002      4000      44491       2463       3000      32890      26601      253808     24141       586     23748      44415      611     177342     1616463       25      127       927     17204      29229      1984      41929      2794639      24620      24483      76479      8217     393154     16066        736     11857      22320      44939      1088      5333       2305     155482     118013      100585      9454      99999       906       87648      1999     103544      37      2607       6008     54348      30477      16024      407       106      1428      6255      25000      153      88313      167     20036      22676     20767      56250       63999      2522014      7178     500001      99999      265     72463      75078      38340       39506     234445      31045     61275      69050      32917      6927     32885    110314     18358     52674    2657      98303      1108      1451     6013      1245     131770     24243         51     2457586      9331      29402      33529     63966      11594     12622       8540       2301      1399      111      40215       93072     52047       6695      1000     327774     20081      224726     24123     602715       40178     79074       9000      32879      54376      7217       592      35999      559638       2273     131671     153413       3008       309     14688      26357     53101       19      123     21599     13224       1000       673     204485      40802     13129      25249     53283     42626      1182      62207     633333      23513      31007      35879     213532      2887      396229     221125     117522      91927      31420       2892       5072       5692       35       13         14       10       7       12       1        0         0        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -4000     306250       8141     25713      58518     24243     117     250002      9999      51906       3284       9999      54817      39902      423014     44259       880     37718      51818      764     197046     2121616       31      159      1854     25806      32478      4960      44224      4657762      34469      36726      98508     10956     491443     24100        920     19762      44641      87408      1633      5926       2882     259136     131126      250510     11818     200000      1812      122707      2999     204277      49      3911       6008     63407      45715      24037      814       142      2143      7819      50000      306      98125      335     33393      25195     36742      74999       79999      4970538     14356     875001     300000      531    104181     150157      49019       59259     273521      39104     71488     101744      41146     10391     41107    154440     27537     79011    3037     122880      1663      2903     9020      2490     197656     28284         77     3071972     15552      44104      37255     86013      16232     16829      10708       2876      2798      223      53620      130301     57830      13391      1000     409718     30121      374544     26756     723260       48214    118611      15000      41099      81565      8442       889      60000      652919       3031     197506     256162       4011       412     16320      39535     87777       28      247     35998     21004       2000      1009     306728      54403     17506      69435     62163     49731      1478     103679    1066665      31351      41737      44004     249120      3208      440249     257979     130580     123178      62841       5784       7609       8538       71       26         28       21      14       30       2        1         0        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -3000     537500      13569     42855      66637     28284     235     250003     20000      60557       4379      20000      91362      59853      705024     81142      1320     59905      60454      955     218940     2784611       39      199      3709     38709      36088      9920      46875      7762904      48256      55089     127015     14608     614303     36150       1150     32938      89282     161113      2450      6585       3602     431893     145696     1000000     14772     399999      3625      171790      3999     404336      66      5867      27036     73974      68573      36055     1628       190      3215      9774     100000      613     109028      671     55655      27995     65005     100000      100000      9796269     28713    1249996     499999     1063    150253     300313      62733       88888     319105      49365     83403     150501      51432     15587     51383    216216     41306    118518    3471     153600      2494      5806    13531      4980     296484     32998        115     3839967     25919      66156      41394    116133      22725     22439      13429       3595      5597      447      71494      182421     64255      26782      1999     512148     45182      624241     29679     867911       57857    177917      25000      51373     122347      9921      1334      99999      761750       4042     296260     427883       5348       549     18133      59303    145209       42      494     59997     33359       4000      1514     460092      72537     23341     113622     72524     58019      1847     172800    1500003      41802      56679      54033     290640      3565      489169     300976     145089     165149     125683      11568      11413      12807      143       52         57       43      29       74       5        1         1        0         0        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -2000     768751      22615     71426      76077     32998     471     250004     60000      70650       5839      40000     152271      89779     1175041    148760      1980     95144      70530     1194     243266     3654791       49      249      7419     58064      40101     19840      49998     12938173      67559      82633     163941     19477     767885     54225       1437     54896     178565     316670      3675      7316       4503     719821     161884     1500000     18466    1000003      7250      240506      4999     998174      88      8801      81108     86303     102860      54083     3256       253      4822     12217     300000     1226     121142     1342     92759      31106    115009     200000      733333     19307326     57426    1624999     874999     2126    217356    1000630      80362      133333     372289      62459     97303     223536      64291     23381     64229    302702     61960    177777    3967     192000      3741     11612    20296      9960     444725     38498        173     4799964     43199      99234      45993    157741      31815     29919      16846       4494     11194      894      95325      255390     71395      53565      4999     640184     67773     1040402     32925    1041493       69428    266875      62499      64217     183522     11719      2001     300000      888743       5390     444391     715035       7131       732     20148      88955    240386       64      988     99996     52982      10000      2271     690138      96717     31122     157808     84611     67689      2309     288000    3000008      55736      77671      66419     339082      3961      543529     351138     161211     221568     251367      23137      17120      19211      287      104        114       87      58      182      11        2         2        1         1        0        0         0        0       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
 -1000     999998      37692    119043      87072     38498     943     250004     99999      82425       7785      99999     253785     134669     1958399    272727      2971    151111      82285     1493     270296     4796876       62      312     14838     87097      44563     59521      99997     12941979      94582     123950     211822     25969     959849     81337       1797     91494     357130     625005      5512      8129       5629    1199705     179871     2000001     23082    2000007     14501      336709      6999    1986860     118     13201     212283    100688     154291      81125     6513       337      7233     15272     999999     2453     134603     2684    154599      34562    203478     300000     1366666     38052124    114853    2000007    1250001     4253    315335    2001260     103046      199999     434339      79203    113520     333446      80364     35072     80287    423784     92940    266664    4534     240000      5612     23224    30445     19920     667087     44914        260     5999926     71999     148851     515000    216117      44542     39892      21136       5618     22389     1789     127100      357546     79328     107131      9999     800230    101660     1733998     36528    1249792       83314    400313     100000      80271     275282     13920      3001     500000     1036946       7186     666586    1195514       9508       977     22387     133432    398200       96     1977    166660     84149      50000      3407    1035207     128956     41496     201995     98713     78970      2887     480000    4500004      74315     107418      81728     395594      4401      603914     409661     179124     297476     502734      46275      25681      28817      574      208        228      174     116      442      23        2         5        3         4     8383        1         1      886       0        0        0        0        0       0        0        0       0      0        0        0         0       0       0         0      0      0        0        0        0         0        0        0       0        0       0        0       0       0         0       0          0       0       0     0       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
