scopeid|id|name|postcode|website|wda_id
13_aixmarseillemetro|1|Aix-en-Provence|13100|http://www.aixenprovence.fr|6452134
13_aixmarseillemetro|7|Aubagne|13400|""|6452137
13_aixmarseillemetro|3|Bouc-Bel-Air|13320|http://www.boucbelair.fr|6447108
13_aixmarseillemetro|6|Carnoux-en-Provence|13470|""|6615882
13_aixmarseillemetro|8|Éguilles|13510|""|6447121
13_aixmarseillemetro|4|Gardanne|13120|""|6447128
13_aixmarseillemetro|2|Marseille|13000|marseille.fr|6447142
13_aixmarseillemetro|5|Simiane-Collongue|13109|""|6427092
33_arcachon|1|Arcachon|33420|""|6614290
33_arcachon|3|Gujan-Mestras|33470|""|6432250
33_arcachon|2|La Teste-de-Buch|33260|""|6455878
33_arcachon|4|Le Teich|33470|""|6455876
60_beauvaisis|1|Beauvais|60000|""|6450128
60_beauvaisis|2|Goincourt|60000|""|6438723
60_beauvaisis|3|Saint-Martin-le-Nœud|60000|""|6614719
33_bordeaux|8|Ambarès-et-Lagrave|33440|""|6616535
33_bordeaux|9|Ambès|33810|""|6452261
33_bordeaux|10|Artigues-près-Bordeaux|33370|""|6448384
33_bordeaux|11|Bassens|33530|""|6450973
33_bordeaux|4|Bègles|33130|""|6448403
33_bordeaux|12|Blanquefort|33290|""|6448345
33_bordeaux|5|Bordeaux|33000|""|6455058
33_bordeaux|1|Bordeaux|33000|vigilo.cycles-manivelles.org|6455058
33_bordeaux|13|Bouliac|33270|""|6448420
33_bordeaux|14|Bruges|33520|""|6614135
33_bordeaux|15|Carbon-Blanc|33560|""|6448442
33_bordeaux|16|Cenon|33150|""|6432185
33_bordeaux|17|Eysines|33320|""|6432221
33_bordeaux|18|Floirac|33270|""|6432224
33_bordeaux|19|Gradignan|33170|""|6432244
33_bordeaux|20|Le Bouscat|33110|""|6456834
33_bordeaux|21|Le Haillan|33185|""|6455862
33_bordeaux|22|Le Taillan-Médoc|33320|""|6455875
33_bordeaux|23|Lormont|33310|""|6432282
33_bordeaux|24|Martignas-sur-Jalle|33127|""|6432300
33_bordeaux|25|Mérignac|33700|""|6432306
33_bordeaux|26|Parempuyre|33290|""|6432332
33_bordeaux|27|Pessac|33600|""|6454014
33_bordeaux|28|Saint-Aubin-de-Médoc|33160|""|6432371
33_bordeaux|29|Saint-Louis-de-Montferrand|33440|""|6432417
33_bordeaux|30|Saint-Médard-en-Jalles|33160|""|6432430
33_bordeaux|31|Saint-Vincent-de-Paul|33440|""|6614012
33_bordeaux|6|Talence|33400|""|6432482
33_bordeaux|32|Villenave-d'Ornon|33140|""|6432502
29_brest|6|Bohars|29820|www.mairie-bohars.fr|6448039
29_brest|2|Brest|29200|brest.fr|6448047
29_brest|14|Gouesnou|29850|www.gouesnou.fr|6448074
29_brest|18|Guilers|29820|www.mairie-guilers.fr|6448082
29_brest|22|Guipavas|29490|mairie-guipavas.fr|6448086
29_brest|26|Le Relecq-Kerhuon|29480|www.lerelecqkerhuon.bzh|6455836
29_brest|30|Plougastel-Daoulas|29470|www.mairie-plougastel.fr|6431000
29_brest|34|Plouzané|29280|ville-plouzane.fr|6453934
35_Chateaugiron|1|Châteaugiron|35410|http://www.ville-chateaugiron.fr|6448548
35_Chateaugiron|5|Domloup|35410|http://www.domloup.fr|6616609
35_Chateaugiron|4|Noyal-sur-Vilaine|35530|https://www.ville-noyalsurvilaine.fr/|6432775
35_Chateaugiron|3|Piré-Chancé|35150|https://www.pire-sur-seiche.fr/|6432784
35_Chateaugiron|6|Servon-sur-Vilaine|35530|http://www.ville-servonsurvilaine.fr|6432872
38_capi|14|Bonnefamille|0|""|6448732
38_capi|1|Bourgoin-Jallieu|38300|https://www.bourgoinjallieu.fr/|6614456
38_capi|12|Chèzeneuve|0|""|6613578
38_capi|8|Domarin|38300|http://www.domarin.fr/|6433190
38_capi|5|Four|38080|http://www.four38.fr/|6433202
