# colnames: instanceid,scope,instancename,api_path,country,lat_min,lat_max,lon_min,lon_max,version
# width: 13,23,35,46,10,19,19,21,21,10
instanceid   scope                  instancename                       api_path                                      country            lat_min            lat_max              lon_min              lon_max   version   
         1   13_aixmarseillemetro   Aix Marseille Provence Metropole   https://vigilo.velosenville.org               France            43.15571           43.74981            4.7465740            5.6165080   0.0.15 
         2   80_amiens              Amiens                             https://velo.varas-genestier.net              France            49.81000           49.94000            2.2007000            2.4050000   0.0.16 
         3   33_arcachon            Bassin Arcachon Sud                https://vigilo.velobassin.org                 France            44.00000           45.00000           -2.0000000            2.0000000   0.0.17 
         4   60_beauvaisis          Beauvais                           https://vigilo.vellovaque.fr                  France            49.34440           49.49740            1.8945100            2.3591200   0.0.16 
         5   33_bordeaux            Bordeaux Métropole                 https://vigilo.cycles-manivelles.org/api      France            44.71879           45.04392           -0.8861127           -0.3961912   0.0.16 
         6   29_brest               Brest                              https://vigilo.bapav.org                      France            48.32276           48.47006           -4.6450800           -4.3186900   0.0.15 
         7   35_Chateaugiron        Châteaugiron (Pays de)             https://pouliquen.net/vigilo                  France            47.97324           48.15116           -1.5745690           -1.3362850   0.0.17 
         8   38_capi                Isère (APIE)                       https://vigilo.apie-asso.net                  France            45.55059           45.65390            5.0942500            5.3955160   0.0.17 
         9   17_larochelle          La Rochelle                        https://vigilo-lr.corolo.fr                   France            46.00392           46.26301           -1.2415638           -0.9046518   0.0.17 
        10   34_montpellier         Montpellier                        https://api-vigilo.jesuisundesdeux.org        France            43.45690           43.77900            3.6914000            4.1432000   0.0.16 
        11   44_nantesmetropole     Nantes Métropole                   https://vigilo.placeauvelo-nantes.fr/         France            47.12481           47.33231           -1.8477630           -1.1885830   0.0.16 
        12   91_parissaclay         Paris-Saclay                       https://api.vigilo-parissaclay.mdb-idf.org/   France            48.60113           48.76049            2.0973587            2.3579407   0.0.16 
        13   24_AggloPgx            Périgueux Agglo                    https://vigilo.velorution-perigourdine.fr     France            44.87000           45.33000            0.5100000            0.9700000   0.0.17 
        14   38_SMVIC               Saint Marcellin Vercors Isère      https://vigilo.roulavelo.org                  France            45.04558           45.31506            5.1561890            5.6026090   0.0.17 
        15   22_SBAA                Saint-Brieuc Armor Agglomération   https://api-vigilo.velo-utile.fr              France            48.28819           48.68079           -3.0598510           -2.6434800   0.0.16 
        16   67_strasbourg          Strasbourg                         https://www.strasbourgavelo.eu                France            48.46170           48.68610            7.5818000            7.7968100   0.0.17 
        17   60_SudOise             Sud Oise                           https://vigilo.au5v.fr/                       France            49.14000           49.45000            2.1400000            3.0000000   0.0.15 
        18   34_setethau            Sète Thau                          https://sete34.vigilo.city/                   France            43.22595           43.61837            3.4880930            3.8307260   0.0.15 
        19   10_troyes              Troyes Agglomération               https://api.vigilo.troyesenselle.fr           France            48.23390           48.34950            3.9630000            4.1848000   0.0.13 
        20   56_vannes              Vannes Agglo                       https://vigilo.kaz.bzh                        France            47.48000           47.86000           -2.9700000           -2.4800000   0.0.18 
