id|name|display_name|iso|country|department|lat_min|lat_max|lon_min|lon_max|map_center_string|map_zoom|api_path|map_url|nominatim_urlbase|contact_email|tweet_content|twitter|backend_version|geonames_admin_filter|geonames_countryid
13_aixmarseillemetro|Aix Marseille Provence Metropole|Aix Marseille Provence Metropole|FR|France|13|43.155714|43.749814|4.746574|5.616508|43.389775, 5.391991|11|https://vigilo.velosenville.org|https://umap.openstreetmap.fr/fr/map/vigiloaixmarseilleprovencemetropole_329304|https://nominatim.openstreetmap.org|collectif@velosenville.org|""|@VigiloAMPM|0.0.20|ADM4|3017382
33_arcachon|Bassin Arcachon Sud|Bassin d'Arcachon|FR|France|33|44.0|45.0|-2.0|2.0|44.630684,-1.130139|15|https://vigilo.velobassin.org|https://umap.openstreetmap.fr/fr/map/vigilo-de-velobassin_591216|https://nominatim.openstreetmap.org|pierre.gaudillere@velobassin.org|""|@BaVigilo|0.0.20|ADM4|3017382
60_beauvaisis|Beauvais|Beauvaisis|FR|France|60|49.3444|49.4974|1.89451|2.35912|49.42972442238604,2.0813063558197165 |15|https://vigilo.vellovaque.fr|""|https://nominatim.openstreetmap.org|vellovaquebeauvais@gmail.com|""|VigiloBeauvais|0.0.16|ADM4|3017382
33_bordeaux|Bordeaux Métropole|Bordeaux Métropole|FR|France|33|44.71879480555031|45.043921207070404|-0.8861127203354706|-0.3961911727147617|44.839564314926065, -0.5682612438201944|15|https://vigilo.cycles-manivelles.org/api|""|https://nominatim.openstreetmap.org|contact@cycles-manivelles.org|""|VigiloBordeaux|0.0.16|ADM4|3017382
29_brest|Brest|Brest Métropole|FR|France|29|48.32276|48.47006|-4.64508|-4.31869|48.39053, -4.48602|15|https://vigilo.bapav.org|""||admin@bapav.org|""|Vǐgǐlo Brest|0.0.20|ADM4|3017382
35_Chateaugiron|Châteaugiron (Pays de)|Pays de Châteaugiron|FR|France|35|47.973235|48.151164|-1.574569|-1.336285|48.048187, -1.500657|10|https://pouliquen.net/vigilo|https://umap.openstreetmap.fr/fr/map/vigilochateaugiron_689323|https://nominatim.openstreetmap.org|collectif.chateaugiron@ecomail.bzh|""|""|0.0.17|ADM4|3017382
38_capi|Isère (APIE)|Nord-Isère (APIE)|FR|France|38|45.550589|45.653903|5.09425|5.395516|45.5882,5.2897|15|https://vigilo.apie-asso.net|https://umap.openstreetmap.fr/fr/map/vigilo-apie_373959|https://nominatim.openstreetmap.org|vigilo@apie-asso.net|L'application Vigilo permet de faire remonter les difficultés rencontrées pour les déplacements à vélo ou à pied, jette donc un oeil ! |VigiloIsereAPIE|0.0.19|ADM4|3017382
17_larochelle|La Rochelle|La Rochelle|FR|France|17|46.003923894188524|46.26301151103885|-1.2415637979943557|-0.9046517733695942|46.15984988557331, -1.1480055228335997|10|https://vigilo-lr.corolo.fr|""|https://nominatim.openstreetmap.org|vigilo-lr@corolo.fr|Un nouveau signalement sur Vigilo La Rochelle !|@VigiloLR|0.0.19|ADM4|3017382
34_montpellier|Montpellier|Grand Montpellier|FR|France|34|43.4569|43.779|3.6914|4.1432|43.60413756443483, 3.873367309570313|12|https://api-vigilo.jesuisundesdeux.org|https://umap.openstreetmap.fr/en/map/vigilo_286846|https://nominatim-languedoc-roussillon.vigilo.city|velocite34@gmail.com|#JeSuisUnDesDeux @montpellier3m|@VigiloMtp|0.0.19|ADM4|3017382
44_nantesmetropole|Nantes Métropole|Nantes Métropole|FR|France|44|47.124812|47.332308|-1.847763|-1.188583|47.21255,-1.54839|15|https://vigilo.placeauvelo-nantes.fr/|https://umap.openstreetmap.fr/en/map/vigilo-nantes-metropole_367886|https://nominatim.openstreetmap.org|vigilo@placeauvelo-nantes.fr|""|@VigiloNantes|0.0.19|ADM4|3017382
