provider|dataset|wda_scope|wda_scope_ref|scopevalue|nb_observations
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Teyran|964
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Montferrier-sur-Lez|1850
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Grabels|602
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Castelnau-le-Lez|4705
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Lattes|964
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Lavérune|2103
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Cournonsec|602
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Clapiers|3
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Montpellier|38052
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Villeneuve-lès-Maguelone|964
opendata3m|wda_opendata3m_ecocompteur_observations|city|wda_geonames_cities|Juvignac|787
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Le Bono|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Saint-Martin-le-Nœud|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Angoulins|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|La Ville-du-Bois|13
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Roche|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|La Jarne|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Compiègne|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Antony|13
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Baillargues|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Aytré|52
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Champlan|9
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Senlis|3
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Gouvieux|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Theix-Noyalo|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Plescop|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Vannes|376
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Larmor-Baden|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Sète|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Saint-Jean-de-Védas|20
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Frontignan|13
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Couëron|6
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Mundolsheim|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Ploufragan|145
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Langueux|7
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Coulounieix-Chamiers|34
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Saint-Julien-les-Villas|10
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Floirac|6
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Séné|25
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Marsac-sur-l'Isle|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Le Bouscat|3
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Indre|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Fresnes|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Parempuyre|5
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Fabrègues|4
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Bassillac et Auberoche|6
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Marcoussis|12
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Longpont-sur-Orge|44
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Longjumeau|13
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Massy|497
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Mittelhausbergen|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Lingolsheim|32
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Chantilly|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Saint-Sauveur|4
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Saint-Georges-d'Orques|14
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Sérézin-de-la-Tour|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Saint-Alban-de-Roche|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Thouaré-sur-Loire|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Saint-Sébastien-sur-Loire|210
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Sainte-Luce-sur-Loire|9
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Mauguio|18
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Grabels|7
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Bouguenais|1
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Sarzeau|4
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Simiane-Collongue|3
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Sainte-Savine|47
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Bordeaux|427
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Les Sorinières|8
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Plouzané|22
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Martignas-sur-Jalle|2
vigilo|wda_vigilo_observations|city|wda_geonames_cities|Trélissac|28
