# Generated by https://github.com/badele/world-datas-analysis
# Version: 1.0
# Query: SELECT category, description, first_year, last_year, printf("%.5f", first_value) as first_value, printf("%.5f", last_value) as last_value, printf("%.5f", growth_percent) as growth_percent FROM v_worldbank_country_summary WHERE CountryCode='FRA';
# Source: https://data.worldbank.org/
# columns: [[0, 34], [35, 179], [180, 191], [192, 202], [203, 222], [223, 242], [243, 258]]

# category=Agriculture et développement rural
                          category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
Agriculture et développement rural                                                                               Consommation d’engrais (kilogrammes par hectare de terres arables)        1961       2018           123.58972           172.67990       39.72028
Agriculture et développement rural                                                                                                               Terres agricoles (% du territoire)        1961       2018            63.07733            52.34177      -17.01968
Agriculture et développement rural                                                                                                           Terres arables (hectares par personne)        1961       2018             0.41503             0.27013      -34.91180
Agriculture et développement rural                                                                                                                 Terres arables (% du territoire)        1961       2018            35.80573            33.10413       -7.54515
Agriculture et développement rural                                                                                        Terres utilisées pour la production céréalière (hectares)        1961       2018       9140300.00000       9113199.00000       -0.29650
Agriculture et développement rural                                                                                                 Terres cultivées en permanence (% du territoire)        1961       2018             3.28545             1.83689      -44.09024
Agriculture et développement rural                                                                                                                   Surface forestière (km carrés)        1990       2020        144360.00000        172530.00000       19.51372
Agriculture et développement rural                                                                                                             Surface forestière (% du territoire)        1990       2020            26.36395            31.50905       19.51568
Agriculture et développement rural                                                                                     Terres agricoles irriguées (% du total des terres agricoles)        2005       2013             5.77195             4.94757      -14.28250
Agriculture et développement rural                                                                                                                           Territoire (km carrés)        1961       2020        547566.00000        547557.00000       -0.00164
Agriculture et développement rural                                                                               Machinerie agricole, tracteurs par 100 km carrés de terres arables        1961       2005           379.16964           640.14071       68.82700
Agriculture et développement rural                                                                                              Indice de production des récoltes (2004 à 2006=100)        1961       2018            63.62000            98.44000       54.73122
Agriculture et développement rural                                                                                                  Indice de production vivrière (2004 à 2006=100)        1961       2018            69.13000            98.70000       42.77448
Agriculture et développement rural                                                                                                 Indice de production de bétail (2004 à 2006=100)        1961       2018            73.72000           100.15000       35.85187
Agriculture et développement rural                                                                                                                   Superficie (kilomètres carrés)        1961       2018        549086.00000        549087.00000        0.00018
Agriculture et développement rural                                                                                                          Rendement des céréales (kg par hectare)        1961       2018          2275.90000          6884.60000      202.50011
Agriculture et développement rural                                                                                                           Agriculture, valeur ajoutée (% du PIB)        1960       2020            10.53722             1.71917      -83.68477
Agriculture et développement rural                                                                                           Employées, agriculture, femmes (% d’emploi des femmes)        1991       2019             4.95000             1.49000      -69.89899
Agriculture et développement rural                                                                                            Employés, agriculture, hommes (% d’emploi des hommes)        1991       2019             6.83000             3.50000      -48.75549
Agriculture et développement rural                                                                                                                                Population rurale        1960       2020      17772187.00000      12821248.00000      -27.85779
Agriculture et développement rural                                                                                                     Population rural (% de la population totale)        1960       2020            38.12000            19.02500      -50.09182


# category=Changement climatique
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
             Changement climatique                                                                                                               Terres agricoles (% du territoire)        1961       2018            63.07733            52.34177      -17.01968
             Changement climatique                                                                                                                 Terres arables (% du territoire)        1961       2018            35.80573            33.10413       -7.54515
             Changement climatique                                        Superficie des terres dont l’altitude est inférieure à 5 mètres (en % de la superficie totale des terres)        1990       2010             1.64737             1.64737        0.00000
             Changement climatique                                                                                                                   Surface forestière (km carrés)        1990       2020        144360.00000        172530.00000       19.51372
             Changement climatique                                                                                                             Surface forestière (% du territoire)        1990       2020            26.36395            31.50905       19.51568
             Changement climatique                                                                                     Terres agricoles irriguées (% du total des terres agricoles)        2005       2013             5.77195             4.94757      -14.28250
             Changement climatique                                                                                                          Rendement des céréales (kg par hectare)        1961       2018          2275.90000          6884.60000      202.50011
             Changement climatique                                                                                                       Accès à l’électricité (% de la population)        1990       2019           100.00000           100.00000        0.00000
             Changement climatique                                                                  Production d’électricité renouvelable (% de la production totale d’électricité)        1990       2015            13.36988            15.85767       18.60741
             Changement climatique                                                                    Consommation d’énergies renouvelables (% de la consommation totale d’énergie)        1990       2018            10.40802            15.25260       46.54661
             Changement climatique                                                                                                    Consommation d’électricité (KWh par habitant)        1960       2014          1462.70980          6939.94352      374.45799
             Changement climatique                                                                                     Utilisation d’énergie (kg d’équivalent pétrole par habitant)        1960       2015          1699.25087          3692.01783      117.27326
             Changement climatique                                                                                                                            Émissions de CO2 (kt)        1960       2018        271218.65400        309960.00000       14.28417
             Changement climatique                                                                                                 Émissions de CO2 (tonnes métriques par habitant)        1960       2018             5.81744             4.61924      -20.59660
             Changement climatique                                                                                                   Émissions totales de GES (kt d’équivalent CO2)        1970       2018        614501.57000        423350.00000      -31.10677
             Changement climatique                                                                                                       Émissions de méthane (kt d’équivalent CO2)        1970       2018         82882.30000         58340.00000      -29.61103
             Changement climatique                                                                        Émissions d’oxyde nitreux (milliers de tonnes métriques d’équivalent CO2)        1970       2018         64736.37000         38030.00000      -41.25404
             Changement climatique                                        Population vivant sur des terres dont l’altitude est inférieure à 5 mètres (en % de la population totale)        1990       2010             2.85227             2.89216        1.39836
             Changement climatique                                                                    Population en agglomérations urbaines > 1 million (% de la population totale)        1960       2020            21.57410            22.86312        5.97486
             Changement climatique                                                                                  Retraits annuels d’eau douce, total (milliards de mètres cubes)        1982       2017            32.53160            26.43600      -18.73747
             Changement climatique                                                                                  Retraits annuels d’eau douce, total (% des ressources internes)        1982       2017            16.26580            13.21800      -18.73747
             Changement climatique                                                                                    Zones terrestres et marines protégées (% du territoire total)        2016       2018            26.08072            33.20750       27.32586
             Changement climatique                                              Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)        2019       2019            32.00000            32.00000        0.00000
             Changement climatique                                                                                                           Agriculture, valeur ajoutée (% du PIB)        1960       2020            10.53722             1.71917      -83.68477
             Changement climatique                                                                           Ratio filles/garçons des inscriptions au primaire et au secondaire (%)        1971       2018             1.03422             1.00052       -3.25849
             Changement climatique                                                                       Taux d’achèvement de l’école primaire, total (% du groupe d’âge pertinent)        1971       2000            93.21495            92.93037       -0.30530
             Changement climatique                                                                                         Taux de mortalité infantile, moins de 5 ans (pour 1 000)        1960       2019            28.50000             4.50000      -84.21053
             Changement climatique                                              Ratio de la population pauvre disposant de moins de $ 1,90 par jour (2011 PPA) (% de la population)        1978       2018             1.00000             0.00000     -100.00000
             Changement climatique                                                                                                           Croissance de la population (% annuel)        1961       2020             1.31863             0.21191      -83.92977
             Changement climatique                                                                                                                                Population, total        1960       2020      46621688.00000      67391582.00000       44.54985
             Changement climatique                                                                                                                               Population urbaine        1960       2020      28849501.00000      54570334.00000       89.15521
             Changement climatique                                                                                                                  Population urbaine (% du total)        1960       2020            61.88000            80.97500       30.85811


# category=Dette extérieure
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                  Dette extérieure                                                                                              Balance des paiements courants (BDP, $ US courants)        1975       2020    2740359182.39273  -48911340953.41870    -1884.85146
                  Dette extérieure                                                                           Investissements étrangers directs, entrées nettes (BDP, $ US courants)        1970       2019     621212781.70170   51038713850.74140     8115.97935
                  Dette extérieure                                                                               Transferts personnels et rémunération des employés ($ US courants)        1975       2020     627961975.10000   24481658775.62510     3798.58936
                  Dette extérieure                                                                                                Total des réserves (comprend l’or, $ US courants)        1960       2020    2300194000.00000  224236417867.71100     9648.58720


# category=Développement social
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
              Développement social                                                                                            Ratio filles/garçons des inscriptions au primaire (%)        1971       2018             0.99329             0.99458        0.12987
              Développement social                                                                           Ratio filles/garçons des inscriptions au primaire et au secondaire (%)        1971       2018             1.03422             1.00052       -3.25849
              Développement social                                                                    Proportion de sièges occupés par des femmes dans les parlements nationaux (%)        1997       2020            10.91854            39.51473      261.90476
              Développement social                                                                                      Emplois vulnérables, femmes (% des emplois chez les femmes)        1991       2019            10.27000             6.53000      -36.41675
              Développement social                                                                                      Emplois vulnérables, hommes (% des emplois chez les hommes)        1991       2019            10.66000             9.13000      -14.35272
              Développement social             Taux de participation à la population active, femmes (% de la population féminine âgée de 15 ans et plus) (estimation modélisée OIT)        1990       2019            46.28000            50.65000        9.44252
              Développement social            Taux de participation à la population active, hommes (% de la population masculine âgée de 15 ans et plus) (estimation modélisée OIT)        1990       2019            65.50000            59.68000       -8.88550
              Développement social                                                                  Chômage, femmes (% de la population active féminine) (estimation modélisée OIT)        1991       2019            11.64000             8.38000      -28.00687
              Développement social                                                                 Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)        1991       2019             7.18000             8.50000       18.38440
              Développement social                                                                                       Population de réfugiées par pays ou par territoire d’asile        1960       2020        245935.00000        436100.00000       77.32328
              Développement social                                                                                         Population de réfugiées par pays ou territoire d’origine        1994       2020            20.00000            49.00000      145.00000
              Développement social                                               Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)        1960       2019            24.91700             4.74540      -80.95517
              Développement social                                                                                                 Espérance de vie à la naissance, femmes (années)        1960       2019            73.30000            85.60000       16.78035
              Développement social                                                                                                 Espérance de vie à la naissance, hommes (années)        1960       2019            66.60000            79.70000       19.66967


# category=Développement urbain
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
              Développement urbain                                  Pollution atmosphérique aux particules fines (PM2,5), exposition annuelle moyenne (microgrammes par mètre cube)        1990       2017            15.84967            11.81496      -25.45608
              Développement urbain Pollution atmosphérique aux particules fines (PM2,5), population exposée à des niveaux supérieurs à la valeur de référence de l’OMS (% du total)        1990       2017            99.77445            78.21356      -21.60963
              Développement urbain                                                                Densité de la population (personnes par kilomètre carré de superficie des terres)        1961       2020            86.27367           123.07683       42.65864
              Développement urbain                                                                                 Population de la ville la plus peuplée (% de population urbaine)        1960       2020            25.68757            20.18905      -21.40538
              Développement urbain                                                                    Population en agglomérations urbaines > 1 million (% de la population totale)        1960       2020            21.57410            22.86312        5.97486
              Développement urbain                                                                                           Mortalité par accident de la route (pour 100 000 hab.)        2000       2019            13.40000             5.10000      -61.94030
              Développement urbain                                                                                                                               Population urbaine        1960       2020      28849501.00000      54570334.00000       89.15521
              Développement urbain                                                                                                                  Population urbaine (% du total)        1960       2020            61.88000            80.97500       30.85811

