# Generated by https://github.com/badele/world-datas-analysis
# Version: 1.0
# Query: select GEOID, iso3, country, capital, continentname,  population FROM v_geonames_country ORDER BY continentname, population DESC LIMIT 10000;
# Source: https://download.geonames.org/export/dump/
# Grouped by continent

# columns: [[0, 7], [9, 15], [17, 61], [63, 83], [85, 100], [102, 114]]

# continentname=Africa
  GEOID  iso3    country                                       capital               continentname      population
2328926  NGA     Nigeria                                       Abuja                 Africa              195874740
 337996  ETH     Ethiopia                                      Addis Ababa           Africa              109224559
 357994  EGY     Egypt                                         Cairo                 Africa               98423595
 203312  COD     Democratic Republic of the Congo              Kinshasa              Africa               84068091
 953987  ZAF     South Africa                                  Pretoria              Africa               57779622
 149590  TZA     Tanzania                                      Dodoma                Africa               56318348
 192950  KEN     Kenya                                         Nairobi               Africa               51393010
 226074  UGA     Uganda                                        Kampala               Africa               42723139
2589581  DZA     Algeria                                       Algiers               Africa               42228429
 366755  SDN     Sudan                                         Khartoum              Africa               41801533
2542007  MAR     Morocco                                       Rabat                 Africa               36029138
3351879  AGO     Angola                                        Luanda                Africa               30809762
2300660  GHA     Ghana                                         Accra                 Africa               29767108
1036973  MOZ     Mozambique                                    Maputo                Africa               29495962
1062947  MDG     Madagascar                                    Antananarivo          Africa               26262368
2233387  CMR     Cameroon                                      Yaounde               Africa               25216237
2287781  CIV     Ivory Coast                                   Yamoussoukro          Africa               25069229
2440476  NER     Niger                                         Niamey                Africa               22442948
2361809  BFA     Burkina Faso                                  Ouagadougou           Africa               19751535
2453866  MLI     Mali                                          Bamako                Africa               19077690
 927384  MWI     Malawi                                        Lilongwe              Africa               17563749
 895949  ZMB     Zambia                                        Lusaka                Africa               17351822
2245662  SEN     Senegal                                       Dakar                 Africa               15854360
2434508  TCD     Chad                                          N'Djamena             Africa               15477751
  51537  SOM     Somalia                                       Mogadishu             Africa               15008154
 878675  ZWE     Zimbabwe                                      Harare                Africa               14439018
2420477  GIN     Guinea                                        Conakry               Africa               12414318
  49518  RWA     Rwanda                                        Kigali                Africa               12301939
2464461  TUN     Tunisia                                       Tunis                 Africa               11565204
2395170  BEN     Benin                                         Porto-Novo            Africa               11485048
 433561  BDI     Burundi                                       Bujumbura             Africa               11175378
7909807  SSD     South Sudan                                   Juba                  Africa                8260490
2363686  TGO     Togo                                          Lome                  Africa                7889094
2403846  SLE     Sierra Leone                                  Freetown              Africa                7650154
2215636  LBY     Libya                                         Tripolis              Africa                6678567
2260494  COG     Republic of the Congo                         Brazzaville           Africa                5244363
2275384  LBR     Liberia                                       Monrovia              Africa                4818977
 239880  CAF     Central African Republic                      Bangui                Africa                4666377
2378080  MRT     Mauritania                                    Nouakchott            Africa                4403319
3355338  NAM     Namibia                                       Windhoek              Africa                2448255
2413451  GMB     Gambia                                        Banjul                Africa                2280102
 933860  BWA     Botswana                                      Gaborone              Africa                2254126
2400553  GAB     Gabon                                         Libreville            Africa                2119275
 932692  LSO     Lesotho                                       Maseru                Africa                2108132
2372248  GNB     Guinea-Bissau                                 Bissau                Africa                1874309
2309096  GNQ     Equatorial Guinea                             Malabo                Africa                1308974
 934292  MUS     Mauritius                                     Port Louis            Africa                1265303
 934841  SWZ     Swaziland                                     Mbabane               Africa                1136191
 223816  DJI     Djibouti                                      Djibouti              Africa                 958920
 921929  COM     Comoros                                       Moroni                Africa                 832322
 935317  REU     Reunion                                       Saint-Denis           Africa                 776948
3374766  CPV     Cape Verde                                    Praia                 Africa                 543767
1024031  MYT     Mayotte                                       Mamoudzou             Africa                 279471
2461445  ESH     Western Sahara                                El-Aaiun              Africa                 273008
2410758  STP     Sao Tome and Principe                         Sao Tome              Africa                 197700
 241170  SYC     Seychelles                                    Victoria              Africa                  96762
3370751  SHN     Saint Helena                                  Jamestown             Africa                   7460
 338010  ERI     Eritrea                                       Asmara                Africa                      0


# continentname=Antarctica

1546748  ATF     French Southern Territories                   Port-aux-Francais     Antarctica                140
3474415  SGS     South Georgia and the South Sandwich Islands  Grytviken             Antarctica                 30
1547314  HMD     Heard Island and McDonald Islands             ?                     Antarctica                  0
3371123  BVT     Bouvet Island                                 ?                     Antarctica                  0
6697173  ATA     Antarctica                                    ?                     Antarctica                  0


# continentname=Asia

1814991  CHN     China                                         Beijing               Asia               1392730000
1269750  IND     India                                         New Delhi             Asia               1352617328
1643084  IDN     Indonesia                                     Jakarta               Asia                267663435
1168579  PAK     Pakistan                                      Islamabad             Asia                212215030
1210997  BGD     Bangladesh                                    Dhaka                 Asia                161356039
1861060  JPN     Japan                                         Tokyo                 Asia                126529100
1694008  PHL     Philippines                                   Manila                Asia                106651922
1562822  VNM     Vietnam                                       Hanoi                 Asia                 95540395
 298795  TUR     Turkey                                        Ankara                Asia                 82319724
 130758  IRN     Iran                                          Tehran                Asia                 81800269
1605651  THA     Thailand                                      Bangkok               Asia                 69428524
1327865  MMR     Myanmar                                       Nay Pyi Taw           Asia                 53708395
1835841  KOR     South Korea                                   Seoul                 Asia                 51635256
  99237  IRQ     Iraq                                          Baghdad               Asia                 38433600
1149361  AFG     Afghanistan                                   Kabul                 Asia                 37172386
 102358  SAU     Saudi Arabia                                  Riyadh                Asia                 33699947
1512440  UZB     Uzbekistan                                    Tashkent              Asia                 32955400
1733045  MYS     Malaysia                                      Kuala Lumpur          Asia                 31528585
  69543  YEM     Yemen                                         Sanaa                 Asia                 28498687
1282988  NPL     Nepal                                         Kathmandu             Asia                 28087871
